timestamp,direction,close,rsi,bb_width,result
2025-11-04 06:31:00,call,1.320695,59.76,0.002108,win
2025-11-04 06:32:00,call,1.320895,62.93,0.001951,win
2025-11-04 09:43:00,put,1.323055,41.19,0.001651,win
2025-11-04 09:44:00,put,1.322775,37.97,0.001663,win
2025-11-04 11:17:00,put,1.322415,45.34,0.001719,win
2025-11-04 11:18:00,put,1.322485,46.5,0.001723,win
2025-11-04 11:33:00,call,1.322945,63.18,0.002796,loss
2025-11-04 11:34:00,call,1.322895,62.28,0.002782,win
2025-11-04 12:38:00,call,1.323125,56.7,0.001713,win
2025-11-04 12:39:00,call,1.323315,59.94,0.001618,win
2025-11-04 12:56:00,put,1.322765,42.29,0.001454,win
2025-11-04 13:22:00,call,1.322725,59.89,0.00148,loss
2025-11-04 16:03:00,put,1.318245,43.23,0.00195,win
2025-11-04 16:04:00,put,1.318415,46.31,0.00194,win
